#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,,,,,,,,,
GCA_000188215.1,PRJNA42153,SAMN02603494,na,na,696749,470,Acinetobacter baumannii 1656-2,strain=1656-2,na,latest,Complete Genome,Major,Full,2011/2/8,ASM18821v1,Kyungpook National University,GCF_000188215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/215/GCA_000188215.1_ASM18821v1,na,na,na,haploid,bacteria,4023106,4023106,39,3,3,3,Kyungpook National University,Annotation submitted by Kyungpook National University,2014/1/31,3913,3824,89,22038960,,,,,,,,,
GCA_000189675.2,PRJNA52395,SAMN02471598,AEOY00000000.1,na,886888,470,Acinetobacter baumannii 3990,strain=3990,na,latest,Contig,Major,Full,2011/2/17,ASM18967v2,University of Birmingham,GCF_000189675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/675/GCA_000189675.2_ASM18967v2,na,na,na,haploid,bacteria,4015011,4015011,39,2,96,96,University of Birmingham,Annotation submitted by University of Birmingham,2012/1/29,0,0,0,21398548,,,,,,,,,
GCA_000214965.2,PRJNA53393,SAMN00114927,AFDA00000000.2,na,903897,470,Acinetobacter baumannii Naval-18,strain=Naval-18,na,latest,Contig,Major,Full,2012/8/13,gacin09v1.0,Walter Reed Army Institute of Research,GCF_000214965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/965/GCA_000214965.2_gacin09v1.0,na,na,na,haploid,bacteria,4454613,4454613,39,6,11,11,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/8/13,4501,4406,95,26195261,,,,,,,,,
GCA_000214985.2,PRJNA53395,SAMN00114928,AFDB00000000.2,na,903898,470,Acinetobacter baumannii Naval-81,strain=Naval-81,na,latest,Contig,Major,Full,2012/8/13,gacin10v1.0,Walter Reed Army Institute of Research,GCF_000214985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/985/GCA_000214985.2_gacin10v1.0,na,na,na,haploid,bacteria,4080872,4080872,39,3,5,5,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/8/13,4077,3981,96,26195261,,,,,,,,,
GCA_000215005.2,PRJNA53379,SAMN00114924,AFCZ00000000.2,na,903890,470,Acinetobacter baumannii OIFC032,strain=OIFC032,na,latest,Contig,Major,Full,2012/8/13,AcbauOIFC032v1.0,Walter Reed Army Institute of Research,GCF_000215005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/005/GCA_000215005.2_AcbauOIFC032v1.0,na,na,na,haploid,bacteria,3893886,3893886,39,2,4,4,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/8/13,3817,3718,99,26195261,,,,,,,,,
GCA_000226275.2,PRJNA28333,SAMN02603878,na,na,497978,470,Acinetobacter baumannii MDR-ZJ06,strain=MDR-ZJ06,na,latest,Complete Genome,Major,Full,2018/10/16,ASM22627v2,State Key Laboratory of Diagnosis and Treatment for Infectious Disease, the First Affiliated Hospital, School of Medicine, Zhejiang University,GCF_000226275.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/275/GCA_000226275.2_ASM22627v2,na,na,na,haploid,bacteria,4022275,4022275,39,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2018/10/15,3925,3753,96,21788470,,,,,,
GCA_000241665.2,PRJNA77019,SAMN02435900,AHAG00000000.1,na,1116233,470,Acinetobacter baumannii AB4857,strain=AB4857,na,latest,Contig,Major,Full,2012/1/6,ASM24166v2,University of Maryland School of Medicine,GCF_000241665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/665/GCA_000241665.2_ASM24166v2,many frameshifted proteins,na,na,haploid,bacteria,4022644,4022644,39,0,54,54,University of Maryland School of Medicine,Annotation submitted by University of Maryland School of Medicine,2012/1/29,0,0,0,22374953,,,,,,,,,
GCA_000241685.2,PRJNA77021,SAMN02435946,AHAH00000000.1,na,1116234,470,Acinetobacter baumannii AB5075,strain=AB5075,na,latest,Contig,Major,Full,2012/1/6,ASM24168v2,University of Maryland School of Medicine,GCF_000241685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/685/GCA_000241685.2_ASM24168v2,many frameshifted proteins,na,na,haploid,bacteria,4050591,4050591,39,0,36,36,University of Maryland School of Medicine,Annotation submitted by University of Maryland School of Medicine,2012/1/29,0,0,0,22374953,,,,,,,,,
GCA_000241705.2,PRJNA77023,SAMN02435969,AHAI00000000.1,na,1116235,470,Acinetobacter baumannii AB5256,strain=AB5256,na,latest,Contig,Major,Full,2012/1/6,ASM24170v2,University of Maryland School of Medicine,GCF_000241705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/705/GCA_000241705.2_ASM24170v2,na,na,na,haploid,bacteria,4158015,4158015,39,0,50,50,University of Maryland School of Medicine,Annotation submitted by University of Maryland School of Medicine,2012/1/29,0,0,0,22374953,,,,,,,,,
GCA_000241725.2,PRJNA77025,SAMN02436013,AHAJ00000000.1,na,1116236,470,Acinetobacter baumannii AB5711,strain=AB5711,na,latest,Contig,Major,Full,2012/1/6,ASM24172v2,University of Maryland School of Medicine,GCF_000241725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/725/GCA_000241725.2_ASM24172v2,na,na,na,haploid,bacteria,4000401,4000401,39,0,45,45,University of Maryland School of Medicine,Annotation submitted by University of Maryland School of Medicine,2012/1/29,0,0,0,22374953,,,,,,,,,
GCA_000278605.1,PRJNA53391,SAMN02436551,AFDO00000000.1,na,903896,470,Acinetobacter baumannii Naval-17,strain=Naval-17,na,latest,Contig,Major,Full,2012/7/16,gacin08v1.0,Walter Reed Army Institute of Research,GCF_000278605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/605/GCA_000278605.1_gacin08v1.0,na,na,na,haploid,bacteria,4009964,4009964,39,1,21,21,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/7/16,3945,3848,97,26195261,,,,,,,,,
GCA_000278625.1,PRJNA53377,SAMN02436470,AFDK00000000.1,na,903889,470,Acinetobacter baumannii OIFC137,strain=OIFC137,na,latest,Contig,Major,Full,2012/7/16,AcbauOIFC137v1.0,Walter Reed Army Institute of Research,GCF_000278625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/625/GCA_000278625.1_AcbauOIFC137v1.0,na,na,na,haploid,bacteria,4081420,4081420,39,1,4,4,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/7/16,3967,3871,96,26195261,,,,,,,,,
GCA_000278645.1,PRJNA53383,SAMN02436409,ALAL00000000.1,na,903892,470,Acinetobacter baumannii OIFC109,strain=OIFC109,na,latest,Contig,Major,Full,2012/7/16,AcbauOIFC109v1.0,Walter Reed Army Institute of Research,GCF_000278645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/645/GCA_000278645.1_AcbauOIFC109v1.0,na,na,na,haploid,bacteria,4107121,4107121,39,1,13,13,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/7/16,4037,3945,92,26195261,,,,,,,,,
GCA_000278665.1,PRJNA53385,SAMN02436631,AFDL00000000.1,na,903893,470,Acinetobacter baumannii OIFC143,strain=OIFC143,na,latest,Contig,Major,Full,2012/7/16,AcbauOIFC143v1.0,Walter Reed Army Institute of Research,GCF_000278665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/665/GCA_000278665.1_AcbauOIFC143v1.0,na,na,na,haploid,bacteria,4441327,4441327,39,4,8,8,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/7/16,4362,4265,97,26195261,,,,,,,,,
GCA_000278685.1,PRJNA53387,SAMN00114925,AFDM00000000.1,na,903894,470,Acinetobacter baumannii OIFC189,strain=OIFC189,na,latest,Contig,Major,Full,2012/7/16,AcbauOIFC189v1.0,Walter Reed Army Institute of Research,GCF_000278685.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/278/685/GCA_000278685.1_AcbauOIFC189v1.0,na,na,na,haploid,bacteria,4043115,4043115,39,1,10,10,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/7/16,3948,3849,99,26195261,,,,,,,,,
GCA_000282795.3,PRJNA168112,SAMN02471420,na,na,1198108,470,Acinetobacter baumannii AC12,strain=AC12,na,latest,Chromosome,Major,Full,2015/6/19,ASM28279v3,Universiti Sultan Zainal Abidin,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/282/795/GCA_000282795.3_ASM28279v3,contaminated; misassembled; missing rRNA genes,na,na,haploid,bacteria,3855235,3849810,39,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2014/4/10,3611,3553,42,23045494;26779129,,,,,,,,,
GCA_000286535.1,PRJNA53397,SAMN02436485,ALII00000000.1,na,903899,470,Acinetobacter baumannii IS-123,strain=IS-123,na,latest,Contig,Major,Full,2012/8/10,gacin11v1.0,Walter Reed Army Institute of Research,GCF_000286535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/535/GCA_000286535.1_gacin11v1.0,na,na,na,haploid,bacteria,4063081,4063081,39,3,20,20,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/8/10,4109,4013,96,26195261,,,,,,,,,
GCA_000286615.1,PRJNA53389,SAMN02436468,AFDN00000000.1,na,903895,470,Acinetobacter baumannii Canada BC-5,strain=Canada BC-5,na,latest,Contig,Major,Full,2012/8/10,gacin07v1.0,Walter Reed Army Institute of Research,GCF_000286615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/615/GCA_000286615.1_gacin07v1.0,na,na,na,haploid,bacteria,3998016,3998016,39,1,3,3,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/8/10,3884,3787,97,26195261,,,,,,,,,
GCA_000297515.1,PRJNA53421,SAMN00761239,AMGE00000000.1,na,903911,470,Acinetobacter baumannii IS-143,strain=IS-143,na,latest,Contig,Major,Full,2012/9/17,gacin24v1.0,Walter Reed Army Institute of Research,GCF_000297515.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/515/GCA_000297515.1_gacin24v1.0,na,na,na,haploid,bacteria,4020019,4020019,39.5,0,93,93,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/9/17,3965,3883,82,26195261,,,,,,,,,
GCA_000297535.1,PRJNA53423,SAMN00761231,AMGF00000000.1,na,903912,470,Acinetobacter baumannii IS-116,strain=IS-116,na,latest,Contig,Major,Full,2012/9/17,gacin24v1.0,Walter Reed Army Institute of Research,GCF_000297535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/535/GCA_000297535.1_gacin24v1.0,na,na,na,haploid,bacteria,3952511,3952511,39,0,40,40,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/9/17,3856,3779,77,26195261,,,,,,,,,
GCA_000297575.1,PRJNA53425,SAMN00761214,AMGG00000000.1,na,903913,470,Acinetobacter baumannii WC-692,strain=WC-692,na,latest,Contig,Major,Full,2012/9/17,gacin25v1.0,Walter Reed Army Institute of Research,GCF_000297575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/575/GCA_000297575.1_gacin25v1.0,na,na,na,haploid,bacteria,4183446,4183446,39,0,79,79,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/9/17,4113,4004,109,26195261,,,,,,,,,
GCA_000297595.1,PRJNA53427,SAMN00761215,AMGH00000000.1,na,903914,470,Acinetobacter baumannii IS-58,strain=IS-58,na,latest,Contig,Major,Full,2012/9/17,gacin26v1.0,Walter Reed Army Institute of Research,GCF_000297595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/595/GCA_000297595.1_gacin26v1.0,na,na,na,haploid,bacteria,4063888,4063888,39,0,61,61,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/9/17,4029,3944,85,26195261,,,,,,,,,
GCA_000297915.1,PRJNA157163,SAMN02596915,AKAQ00000000.1,na,1168588,470,Acinetobacter baumannii Ab11111,strain=Ab11111,na,latest,Scaffold,Major,Full,2012/9/21,Acin_baum_Ab11111_V1,Broad Institute,GCF_000297915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/915/GCA_000297915.1_Acin_baum_Ab11111_V1,na,na,na,haploid,bacteria,4080331,4062506,39,0,10,26,Broad Institute,Annotation submitted by Broad Institute,2015/3/18,3903,3805,98,na,,,,,,,,,
GCA_000297955.1,PRJNA157169,SAMN02596918,AKAT00000000.1,na,1168591,470,Acinetobacter baumannii Ab44444,strain=Ab44444,na,latest,Scaffold,Major,Full,2012/9/21,Acin_baum_Ab44444_V1,Broad Institute,GCF_000297955.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/955/GCA_000297955.1_Acin_baum_Ab44444_V1,na,na,na,haploid,bacteria,3801338,3769310,39,0,6,31,Broad Institute,Annotation submitted by Broad Institute,2015/3/18,3635,3555,80,na,,,,,,,,,
GCA_000299655.1,PRJNA172873,SAMN02470994,AMGR00000000.1,na,1223564,470,Acinetobacter baumannii ZWS1122,strain=ZWS1122,na,latest,Contig,Major,Full,2012/9/27,ASM29965v1,Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University,GCF_000299655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/655/GCA_000299655.1_ASM29965v1,na,na,na,haploid,bacteria,3937258,3937258,39,0,60,60,Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University,Annotation submitted by Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University,2012/9/27,3814,3750,64,23209232,,,
GCA_000299675.1,PRJNA172947,SAMN02470995,AMGS00000000.1,na,1224141,470,Acinetobacter baumannii ZWS1219,strain=ZWS1219,na,latest,Contig,Major,Full,2012/9/27,ASM29967v1,Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University,GCF_000299675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/675/GCA_000299675.1_ASM29967v1,na,na,na,haploid,bacteria,3964728,3964728,39,0,70,70,Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University,Annotation submitted by Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University,2012/9/27,3831,3749,82,23209232,,,
GCA_000301295.1,PRJNA172664,SAMN02471225,AMHI00000000.1,na,1221253,470,Acinetobacter baumannii AB_2007-16-25-01-7,strain=AB_2007-16-25-01-7,na,latest,Contig,Major,Full,2012/10/2,ASM30129v1,Translational Genomics Research Institute,GCF_000301295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/295/GCA_000301295.1_ASM30129v1,na,na,na,haploid,bacteria,3961436,3961436,39,0,81,81,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301335.1,PRJNA172669,SAMN02471249,AMHN00000000.1,na,1221258,470,Acinetobacter baumannii AB_2008-15-69,strain=AB_2008-15-69,na,latest,Contig,Major,Full,2012/10/2,ASM30133v1,Translational Genomics Research Institute,GCF_000301335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/335/GCA_000301335.1_ASM30133v1,na,na,na,haploid,bacteria,4136907,4136907,39,0,75,75,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301355.1,PRJNA172671,SAMN02471278,AMHP00000000.1,na,1221260,470,Acinetobacter baumannii AB_2008-15-71,strain=AB_2008-15-71,na,latest,Contig,Major,Full,2012/10/2,ASM30135v1,Translational Genomics Research Institute,GCF_000301355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/355/GCA_000301355.1_ASM30135v1,na,na,na,haploid,bacteria,3886101,3886101,39,0,90,90,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301435.1,PRJNA172681,SAMN02471282,AMHZ00000000.1,na,1221270,470,Acinetobacter baumannii AB_909-02-7,strain=AB_909-02-7,na,latest,Contig,Major,Full,2012/10/2,ASM30143v1,Translational Genomics Research Institute,GCF_000301435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/435/GCA_000301435.1_ASM30143v1,na,na,na,haploid,bacteria,3929639,3929639,39,0,98,98,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301555.1,PRJNA172692,SAMN02471264,AMIK00000000.1,na,1221280,470,Acinetobacter baumannii AB_TG2031,strain=AB_TG2031,na,latest,Contig,Major,Full,2012/10/2,ASM30155v1,Translational Genomics Research Institute,GCF_000301555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/555/GCA_000301555.1_ASM30155v1,na,na,na,haploid,bacteria,3782788,3782788,39,0,75,75,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301575.1,PRJNA172694,SAMN02471230,AMIM00000000.1,na,1221282,470,Acinetobacter baumannii AB_TG2631,strain=AB_TG2631,na,latest,Contig,Major,Full,2012/10/2,ASM30157v1,Translational Genomics Research Institute,GCF_000301575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/575/GCA_000301575.1_ASM30157v1,na,na,na,haploid,bacteria,3881302,3881302,39,0,95,95,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301895.1,PRJNA172665,SAMN02471276,AMHJ00000000.1,na,1221254,470,Acinetobacter baumannii AB_2007-16-27-01,strain=AB_2007-16-27-01,na,latest,Contig,Major,Full,2012/10/2,ASM30189v1,Translational Genomics Research Institute,GCF_000301895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/895/GCA_000301895.1_ASM30189v1,na,na,na,haploid,bacteria,3970109,3970109,39,0,71,71,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000301995.1,PRJNA172674,SAMN02471279,AMHS00000000.1,na,1221263,470,Acinetobacter baumannii AB_2009-04-01-7,strain=AB_2009-04-01-7,na,latest,Contig,Major,Full,2012/10/2,ASM30199v1,Translational Genomics Research Institute,GCF_000301995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/995/GCA_000301995.1_ASM30199v1,na,na,na,haploid,bacteria,3839270,3839270,39,0,86,86,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000302135.1,PRJNA172685,SAMN02471228,AMID00000000.1,na,1221273,470,Acinetobacter baumannii AB_TG19617,strain=AB_TG19617,na,latest,Contig,Major,Full,2012/10/2,ASM30213v1,Translational Genomics Research Institute,GCF_000302135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/135/GCA_000302135.1_ASM30213v1,na,na,na,haploid,bacteria,3890585,3890585,39,0,59,59,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000302235.1,PRJNA172699,SAMN02471260,AMIR00000000.1,na,1221287,470,Acinetobacter baumannii AB_TG27339,strain=AB_TG27339,na,latest,Contig,Major,Full,2012/10/2,ASM30223v1,Translational Genomics Research Institute,GCF_000302235.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/235/GCA_000302235.1_ASM30223v1,na,na,na,haploid,bacteria,3971513,3971513,39,0,46,46,Translational Genomics Research Institute,Annotation submitted by Translational Genomics Research Institute,2012/10/2,0,0,0,na,,,,,,,,,
GCA_000304655.1,PRJNA53411,SAMN00761222,AMEJ00000000.1,na,903906,470,Acinetobacter baumannii IS-251,strain=IS-251,na,latest,Contig,Major,Full,2012/10/9,gacin18v1.0,Walter Reed Army Institute of Research,GCF_000304655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/655/GCA_000304655.1_gacin18v1.0,na,na,na,haploid,bacteria,4007286,4007286,39,0,72,72,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/10/9,3982,3908,74,26195261,,,,,,,,,
GCA_000304675.1,PRJNA53415,SAMN00761229,AMFI00000000.1,na,903908,470,Acinetobacter baumannii Naval-72,strain=Naval-72,na,latest,Contig,Major,Full,2012/10/9,GACIN20v1.0,Walter Reed Army Institute of Research,GCF_000304675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/675/GCA_000304675.1_GACIN20v1.0,na,na,na,haploid,bacteria,3840453,3840453,39,0,52,52,Walter Reed Army Institute of Research,Annotation submitted by Walter Reed Army Institute of Research,2012/10/9,3715,3607,108,26195261,,,,,,,,,
